PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,YEAR,QUARTER,MONTH,COVID_PERIOD,DATE
0.0,0.0,G4,Allegiant Air,12917,LCK,"Columbus, OH",OH,12917,LCK,"Columbus, OH",OH,2018,2,6,Before Covid,2018-06-01
0.0,71.0,UA,United Air Lines Inc.,11267,DAY,"Dayton, OH",OH,11066,CMH,"Columbus, OH",OH,2018,2,6,Before Covid,2018-06-01
0.0,86.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,1,1,Before Covid,2018-01-01
0.0,86.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,1,2,Before Covid,2018-02-01
0.0,86.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,1,3,Before Covid,2018-03-01
0.0,86.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,2,4,Before Covid,2018-04-01
0.0,86.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,2,5,Before Covid,2018-05-01
0.0,86.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,2,6,Before Covid,2018-06-01
0.0,86.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,3,7,Before Covid,2018-07-01
0.0,86.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,3,8,Before Covid,2018-08-01
0.0,86.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,3,9,Before Covid,2018-09-01
0.0,86.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,4,10,Before Covid,2018-10-01
0.0,86.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,4,11,Before Covid,2018-11-01
0.0,86.0,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,4,12,Before Covid,2018-12-01
0.0,102.0,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,1,1,Before Covid,2018-01-01
0.0,102.0,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,1,2,Before Covid,2018-02-01
0.0,102.0,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,1,3,Before Covid,2018-03-01
0.0,102.0,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,2,4,Before Covid,2018-04-01
0.0,102.0,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,2,5,Before Covid,2018-05-01
0.0,102.0,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,2,6,Before Covid,2018-06-01
0.0,102.0,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,3,7,Before Covid,2018-07-01
0.0,102.0,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,3,8,Before Covid,2018-08-01
0.0,102.0,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,3,9,Before Covid,2018-09-01
0.0,102.0,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,4,10,Before Covid,2018-10-01
0.0,102.0,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,4,11,Before Covid,2018-11-01
0.0,102.0,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,4,12,Before Covid,2018-12-01
