CarrierKey,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME
2,G4,Allegiant Air
10,UA,United Air Lines Inc.
11,FX,Federal Express Corporation
60,5Y,Atlas Air Inc.
67,C5,CommuteAir LLC dba CommuteAir
69,YV,Mesa Airlines Inc.
85,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern"
87,AMQ,Ameristar Air Cargo
91,GL,Miami Air International
92,LF,CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle
99,5X,United Parcel Service
106,WN,Southwest Airlines Co.
113,U7,USA Jet Airlines Inc.
133,KAQ,Kalitta Air LLC
160,KD,Western Global
162,27Q,"Jet Aviation Flight Services, Inc."
345,GFQ,Gulf And Caribbean Cargo
346,KLQ,Kalitta Charters II
556,AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways
631,DL,Delta Air Lines Inc.
830,M6,Amerijet International
850,WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines"
906,5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo
910,NC,Northern Air Cargo Inc.
1011,N8,National Air Cargo Group Inc d/ba National Airlines
1058,8C,Air Transport International
1061,WI,Sky Lease Cargo
1068,EV,ExpressJet Airlines LLC d/b/a aha!
1070,YX,Republic Airline
1100,04Q,Tradewind Aviation
1107,AA,American Airlines Inc.
1348,OO,SkyWest Airlines Inc.
1875,ZW,Air Wisconsin Airlines Corp
2119,XP,TEM Enterprises dba  Avelo Airlines
2147,9E,Endeavor Air Inc.
2162,AX,Trans States Airlines
2334,F9,Frontier Airlines Inc.
2345,SY,Sun Country Airlines d/b/a MN Airlines
2376,VC,Via Airlines d/b/a Sterling Airways
2429,MQ,Envoy Air
2529,AC,Air Canada
2574,1EQ,"KaiserAir, Inc."
2643,OH,PSA Airlines Inc.
2699,G7,GoJet Airlines LLC d/b/a United Express
3388,PT,Piedmont Airlines
3778,AS,Alaska Airlines Inc.
4031,NK,Spirit Air Lines
817,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air"
1128,CI,China Airlines Ltd.
394,3FQ,"Western Air Charter, Inc.  d/b/a  Jet Edge"
962,GCA,"Global Crossing Airlines, Inc."
1199,L2,Lynden Air Cargo Airlines
1490,PR,Philippine Airlines Inc.
1776,13Q,Chartright Air Inc.
1925,TQ,"Tailwind Air, LLC"
2360,AN,"ADVANCED AIR, LLC"
2722,MX,Breeze Aviation Group DBA  Breeze
3912,TP,TAP-TAP Air Portugal
860,1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC"
1385,ADB,Antonov Company
1553,14Q,London Air Services Limited
3031,B6,JetBlue Airways
