DestKey,DEST,DEST_CITY_NAME,DEST_STATE_ABR
12917,LCK,"Columbus, OH",OH
11066,CMH,"Columbus, OH",OH
14131,PKB,"Parkersburg, WV",WV
12223,HTS,"Ashland, WV",WV
11193,CVG,"Cincinnati, OH",KY
11042,CLE,"Cleveland, OH",OH
11146,CRW,"Charleston/Dunbar, WV",WV
16133,YNG,"Youngstown/Warren, OH",OH
14122,PIT,"Pittsburgh, PA",PA
11433,DTW,"Detroit, MI",MI
16091,YIP,"Detroit, MI",MI
12945,LEX,"Lexington, KY",KY
12339,IND,"Indianapolis, IN",IN
12021,GUS,"Peru, IN",IN
14730,SDF,"Louisville, KY",KY
12884,LAN,"Lansing, MI",MI
14711,SCE,"State College, PA",PA
13232,MDW,"Chicago, IL",IL
11612,EVV,"Evansville, IN",IN
13930,ORD,"Chicago, IL",IL
10792,BUF,"Buffalo, NY",NY
12264,IAD,"Washington, DC",VA
15271,TN2,"Sparta, TN",TN
11995,GSO,"Greensboro/High Point, NC",NC
13230,MDT,"Harrisburg, PA",PA
13342,MKE,"Milwaukee, WI",WI
11057,CLT,"Charlotte, NC",NC
10693,BNA,"Nashville, TN",TN
10821,BWI,"Baltimore, MD",MD
13461,MQY,"Smyrna, TN",TN
14492,RDU,"Raleigh/Durham, NC",NC
14512,RFD,"Rockford, IL",IL
12397,ITH,"Ithaca/Cortland, NY",NY
13485,MSN,"Madison, WI",WI
14100,PHL,"Philadelphia, PA",PA
13151,LZU,"Lawrenceville, GA",GA
11641,FAY,"Fayetteville, NC",NC
15016,STL,"St. Louis, MO",MO
13931,ORF,"Norfolk, VA",VA
10298,ANB,"Anniston, AL",AL
10208,AGS,"Augusta, GA",GA
11618,EWR,"Newark, NJ",NJ
15070,SWF,"Newburgh/Poughkeepsie, NY",NY
12478,JFK,"New York, NY",NY
12197,HPN,"White Plains, NY",NY
11111,COU,"Columbia, MO",MO
13244,MEM,"Memphis, TN",TN
10257,ALB,"Albany, NY",NY
14633,RST,"Rochester, MN",MN
14307,PVD,"Providence, RI",RI
10540,BED,"Bedford, MA",MA
10721,BOS,"Boston, MA",MA
15370,TUL,"Tulsa, OK",OK
12278,ICT,"Wichita, KS",KS
14814,SHV,"Shreveport, LA",LA
13204,MCO,"Orlando, FL",FL
15304,TPA,"Tampa, FL",FL
11259,DAL,"Dallas, TX",TX
10171,ADS,"Dallas, TX",TX
11697,FLL,"Fort Lauderdale, FL",FL
13303,MIA,"Miami, FL",FL
12896,LBB,"Lubbock, TX",TX
13061,LRD,"Laredo, TX",TX
14869,SLC,"Salt Lake City, UT",UT
10713,BOI,"Boise, ID",ID
14843,SJU,"San Juan, PR",PR
14691,SBD,"San Bernardino, CA",CA
12892,LAX,"Los Angeles, CA",CA
14747,SEA,"Seattle, WA",WA
14831,SJC,"San Jose, CA",CA
14771,SFO,"San Francisco, CA",CA
10299,ANC,"Anchorage, AK",AK
11027,CKB,"Clarksburg/Fairmont, WV",WV
12391,ISP,"Islip, NY",NY
12992,LIT,"Little Rock, AR",AR
13851,OKC,"Oklahoma City, OK",OK
13158,MAF,"Midland/Odessa, TX",TX
10140,ABQ,"Albuquerque, NM",NM
11540,ELP,"El Paso, TX",TX
11884,GEG,"Spokane, WA",WA
13891,ONT,"Ontario, CA",CA
14570,RNO,"Reno, NV",NV
14893,SMF,"Sacramento, CA",CA
13105,LUK,"Cincinnati, OH",OH
14524,RIC,"Richmond, VA",VA
10577,BGM,"Binghamton, NY",NY
15167,TEB,"Teterboro, NJ",NJ
12953,LGA,"New York, NY",NY
10599,BHM,"Birmingham, AL",AL
13958,OSU,"Columbus, OH",OH
14321,PWM,"Portland, ME",ME
13898,OPF,"Miami, FL",FL
12441,JAC,"Jackson, WY",WY
15376,TUS,"Tucson, AZ",AZ
13871,OMA,"Omaha, NE",NE
14683,SAT,"San Antonio, TX",TX
11140,CRP,"Corpus Christi, TX",TX
