OriginKey,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR
12917,LCK,"Columbus, OH",OH
11267,DAY,"Dayton, OH",OH
12223,HTS,"Ashland, WV",WV
11193,CVG,"Cincinnati, OH",KY
11066,CMH,"Columbus, OH",OH
11042,CLE,"Cleveland, OH",OH
11823,FWA,"Fort Wayne, IN",IN
14122,PIT,"Pittsburgh, PA",PA
16091,YIP,"Detroit, MI",MI
11433,DTW,"Detroit, MI",MI
10654,BKW,"Beckley, WV",WV
12339,IND,"Indianapolis, IN",IN
14730,SDF,"Louisville, KY",KY
12884,LAN,"Lansing, MI",MI
15412,TYS,"Knoxville, TN",TN
10792,BUF,"Buffalo, NY",NY
13930,ORD,"Chicago, IL",IL
12348,INT,"Winston-Salem, NC",NC
11995,GSO,"Greensboro/High Point, NC",NC
15271,TN2,"Sparta, TN",TN
11376,DPA,"Chicago, IL",IL
13230,MDT,"Harrisburg, PA",PA
13461,MQY,"Smyrna, TN",TN
10693,BNA,"Nashville, TN",TN
13342,MKE,"Milwaukee, WI",WI
13537,MVN,"Mount Vernon, IL",IL
14524,RIC,"Richmond, VA",VA
14492,RDU,"Raleigh/Durham, NC",NC
11996,GSP,"Greer, SC",SC
14576,ROC,"Rochester, NY",NY
11871,GDC,"Greenville, SC",SC
13485,MSN,"Madison, WI",WI
14100,PHL,"Philadelphia, PA",PA
15016,STL,"St. Louis, MO",MO
13151,LZU,"Lawrenceville, GA",GA
14397,QMA,"Kennesaw, GA",GA
15356,TTN,"Trenton, NJ",NJ
10397,ATL,"Atlanta, GA",GA
11618,EWR,"Newark, NJ",NJ
15167,TEB,"Teterboro, NJ",NJ
12953,LGA,"New York, NY",NY
11764,FRG,"East Farmingdale, NY",NY
13244,MEM,"Memphis, TN",TN
12007,GTR,"Columbus, MS",MS
11423,DSM,"Des Moines, IA",IA
14307,PVD,"Providence, RI",RI
10540,BED,"Bedford, MA",MA
12992,LIT,"Little Rock, AR",AR
13198,MCI,"Kansas City, MO",MO
13487,MSP,"Minneapolis, MN",MN
10721,BOS,"Boston, MA",MA
12451,JAX,"Jacksonville, FL",FL
