TimeKey,YEAR,QUARTER,MONTH,COVID_PERIOD
2018-06-01,2018,2,6,Before Covid
2018-01-01,2018,1,1,Before Covid
2018-02-01,2018,1,2,Before Covid
2018-03-01,2018,1,3,Before Covid
2018-04-01,2018,2,4,Before Covid
2018-05-01,2018,2,5,Before Covid
2018-07-01,2018,3,7,Before Covid
2018-08-01,2018,3,8,Before Covid
2018-09-01,2018,3,9,Before Covid
2018-10-01,2018,4,10,Before Covid
2018-11-01,2018,4,11,Before Covid
2018-12-01,2018,4,12,Before Covid
2019-12-01,2019,4,12,Before Covid
2019-01-01,2019,1,1,Before Covid
2019-02-01,2019,1,2,Before Covid
2019-03-01,2019,1,3,Before Covid
2019-04-01,2019,2,4,Before Covid
2019-05-01,2019,2,5,Before Covid
2019-06-01,2019,2,6,Before Covid
2019-07-01,2019,3,7,Before Covid
2019-08-01,2019,3,8,Before Covid
2019-10-01,2019,4,10,Before Covid
2019-11-01,2019,4,11,Before Covid
2019-09-01,2019,3,9,Before Covid
2020-01-01,2020,1,1,During Covid
2020-02-01,2020,1,2,During Covid
2020-03-01,2020,1,3,During Covid
2020-04-01,2020,2,4,During Covid
2020-05-01,2020,2,5,During Covid
2020-06-01,2020,2,6,During Covid
2020-07-01,2020,3,7,During Covid
2020-08-01,2020,3,8,During Covid
2020-09-01,2020,3,9,During Covid
2020-10-01,2020,4,10,During Covid
2020-11-01,2020,4,11,During Covid
2020-12-01,2020,4,12,During Covid
2021-04-01,2021,2,4,During Covid
2021-05-01,2021,2,5,During Covid
2021-01-01,2021,1,1,During Covid
2021-02-01,2021,1,2,During Covid
2021-03-01,2021,1,3,During Covid
2021-06-01,2021,2,6,During Covid
2021-07-01,2021,3,7,During Covid
2021-08-01,2021,3,8,During Covid
2021-09-01,2021,3,9,During Covid
2021-10-01,2021,4,10,During Covid
2021-11-01,2021,4,11,During Covid
2021-12-01,2021,4,12,During Covid
2022-04-01,2022,2,4,After Covid
2022-01-01,2022,1,1,After Covid
2022-03-01,2022,1,3,After Covid
2022-11-01,2022,4,11,After Covid
2022-02-01,2022,1,2,After Covid
2022-05-01,2022,2,5,After Covid
2022-06-01,2022,2,6,After Covid
2022-07-01,2022,3,7,After Covid
2022-08-01,2022,3,8,After Covid
2022-09-01,2022,3,9,After Covid
2022-10-01,2022,4,10,After Covid
2022-12-01,2022,4,12,After Covid
2023-01-01,2023,1,1,After Covid
2023-06-01,2023,2,6,After Covid
2023-03-01,2023,1,3,After Covid
2023-02-01,2023,1,2,After Covid
2023-11-01,2023,4,11,After Covid
2023-04-01,2023,2,4,After Covid
2023-05-01,2023,2,5,After Covid
2023-07-01,2023,3,7,After Covid
2023-08-01,2023,3,8,After Covid
2023-09-01,2023,3,9,After Covid
2023-10-01,2023,4,10,After Covid
2023-12-01,2023,4,12,After Covid
