PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,YEAR,QUARTER,MONTH
0.00,0.00,5Y,Atlas Air Inc.,12917,LCK,"Columbus, OH",OH,12917,LCK,"Columbus, OH",OH,2019,4,12
0.00,0.00,KD,Western Global,11042,CLE,"Cleveland, OH",OH,11042,CLE,"Cleveland, OH",OH,2019,1,2
0.00,0.00,M6,Amerijet International,12324,ILN,"Wilmington, OH",OH,12324,ILN,"Wilmington, OH",OH,2019,2,6
0.00,0.00,M6,Amerijet International,12324,ILN,"Wilmington, OH",OH,12324,ILN,"Wilmington, OH",OH,2019,3,9
0.00,0.00,M6,Amerijet International,12324,ILN,"Wilmington, OH",OH,12324,ILN,"Wilmington, OH",OH,2019,4,10
0.00,47.00,AMQ,Ameristar Air Cargo,15295,TOL,"Toledo, OH",OH,16091,YIP,"Detroit, MI",MI,2019,1,3
0.00,47.00,AMQ,Ameristar Air Cargo,15295,TOL,"Toledo, OH",OH,16091,YIP,"Detroit, MI",MI,2019,2,5
0.00,47.00,AMQ,Ameristar Air Cargo,16091,YIP,"Detroit, MI",MI,15295,TOL,"Toledo, OH",OH,2019,1,3
0.00,47.00,U7,USA Jet Airlines Inc.,15295,TOL,"Toledo, OH",OH,16091,YIP,"Detroit, MI",MI,2019,1,2
0.00,47.00,U7,USA Jet Airlines Inc.,16091,YIP,"Detroit, MI",MI,15295,TOL,"Toledo, OH",OH,2019,4,12
0.00,54.00,5Y,Atlas Air Inc.,11193,CVG,"Cincinnati, OH",KY,12324,ILN,"Wilmington, OH",OH,2019,4,10
0.00,54.00,5Y,Atlas Air Inc.,11193,CVG,"Cincinnati, OH",KY,12324,ILN,"Wilmington, OH",OH,2019,4,12
0.00,54.00,5Y,Atlas Air Inc.,12324,ILN,"Wilmington, OH",OH,11193,CVG,"Cincinnati, OH",KY,2019,4,11
0.00,54.00,5Y,Atlas Air Inc.,12324,ILN,"Wilmington, OH",OH,11193,CVG,"Cincinnati, OH",KY,2019,4,12
0.00,54.00,8C,Air Transport International,11193,CVG,"Cincinnati, OH",KY,12324,ILN,"Wilmington, OH",OH,2019,4,12
0.00,54.00,ABX,ABX Air Inc,11193,CVG,"Cincinnati, OH",KY,12324,ILN,"Wilmington, OH",OH,2019,1,1
0.00,54.00,ABX,ABX Air Inc,11193,CVG,"Cincinnati, OH",KY,12324,ILN,"Wilmington, OH",OH,2019,1,2
0.00,54.00,ABX,ABX Air Inc,11193,CVG,"Cincinnati, OH",KY,12324,ILN,"Wilmington, OH",OH,2019,1,3
0.00,54.00,ABX,ABX Air Inc,11193,CVG,"Cincinnati, OH",KY,12324,ILN,"Wilmington, OH",OH,2019,2,4
0.00,54.00,ABX,ABX Air Inc,11193,CVG,"Cincinnati, OH",KY,12324,ILN,"Wilmington, OH",OH,2019,2,5
0.00,54.00,ABX,ABX Air Inc,11193,CVG,"Cincinnati, OH",KY,12324,ILN,"Wilmington, OH",OH,2019,2,6
0.00,54.00,ABX,ABX Air Inc,11193,CVG,"Cincinnati, OH",KY,12324,ILN,"Wilmington, OH",OH,2019,3,8
0.00,54.00,ABX,ABX Air Inc,12324,ILN,"Wilmington, OH",OH,11193,CVG,"Cincinnati, OH",KY,2019,1,2
0.00,54.00,ABX,ABX Air Inc,12324,ILN,"Wilmington, OH",OH,11193,CVG,"Cincinnati, OH",KY,2019,3,9
0.00,54.00,ABX,ABX Air Inc,12324,ILN,"Wilmington, OH",OH,11193,CVG,"Cincinnati, OH",KY,2019,4,12
0.00,64.00,FX,Federal Express Corporation,11193,CVG,"Cincinnati, OH",KY,11267,DAY,"Dayton, OH",OH,2019,3,8
0.00,70.00,GL,Miami Air International,14122,PIT,"Pittsburgh, PA",PA,10874,CAK,"Akron, OH",OH,2019,3,8
0.00,86.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2019,1,1
0.00,86.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2019,1,2
0.00,86.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2019,1,3
0.00,86.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2019,2,4
0.00,86.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2019,2,5
