PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,YEAR,QUARTER,MONTH
0.00,0.00,G4,Allegiant Air,11042,CLE,"Cleveland, OH",OH,11042,CLE,"Cleveland, OH",OH,2018,2,6
0.00,0.00,G4,Allegiant Air,12917,LCK,"Columbus, OH",OH,12917,LCK,"Columbus, OH",OH,2018,2,6
0.00,0.00,KD,Western Global,11042,CLE,"Cleveland, OH",OH,11042,CLE,"Cleveland, OH",OH,2018,3,9
0.00,0.00,M6,Amerijet International,12324,ILN,"Wilmington, OH",OH,12324,ILN,"Wilmington, OH",OH,2018,1,2
0.00,47.00,AMQ,Ameristar Air Cargo,15295,TOL,"Toledo, OH",OH,16091,YIP,"Detroit, MI",MI,2018,1,3
0.00,49.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11433,DTW,"Detroit, MI",MI,15295,TOL,"Toledo, OH",OH,2018,3,7
0.00,53.00,AMQ,Ameristar Air Cargo,13255,MFD,"Mansfield, OH",OH,11042,CLE,"Cleveland, OH",OH,2018,2,5
0.00,64.00,5Y,Atlas Air Inc.,11267,DAY,"Dayton, OH",OH,11193,CVG,"Cincinnati, OH",KY,2018,2,5
0.00,64.00,G4,Allegiant Air,11193,CVG,"Cincinnati, OH",KY,11267,DAY,"Dayton, OH",OH,2018,2,6
0.00,71.00,UA,United Air Lines Inc.,11267,DAY,"Dayton, OH",OH,11066,CMH,"Columbus, OH",OH,2018,2,6
0.00,86.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,1,1
0.00,86.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,1,2
0.00,86.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,1,3
0.00,86.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,2,4
0.00,86.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,2,5
0.00,86.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,2,6
0.00,86.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,3,7
0.00,86.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,3,8
0.00,86.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,3,9
0.00,86.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,4,10
0.00,86.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,4,11
0.00,86.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,14131,PKB,"Parkersburg, WV",WV,2018,4,12
0.00,95.00,DL,Delta Air Lines Inc.,11042,CLE,"Cleveland, OH",OH,11433,DTW,"Detroit, MI",MI,2018,1,2
0.00,95.00,DL,Delta Air Lines Inc.,11433,DTW,"Detroit, MI",MI,11042,CLE,"Cleveland, OH",OH,2018,1,2
0.00,95.00,UA,United Air Lines Inc.,11433,DTW,"Detroit, MI",MI,11042,CLE,"Cleveland, OH",OH,2018,3,7
0.00,95.00,UA,United Air Lines Inc.,11433,DTW,"Detroit, MI",MI,11042,CLE,"Cleveland, OH",OH,2018,4,10
0.00,95.00,YV,Mesa Airlines Inc.,11042,CLE,"Cleveland, OH",OH,11433,DTW,"Detroit, MI",MI,2018,1,2
0.00,99.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,11577,ERI,"Erie, PA",PA,2018,1,1
0.00,99.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,11577,ERI,"Erie, PA",PA,2018,1,2
0.00,99.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,11577,ERI,"Erie, PA",PA,2018,1,3
0.00,99.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,11577,ERI,"Erie, PA",PA,2018,2,4
0.00,99.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,11577,ERI,"Erie, PA",PA,2018,2,5
0.00,99.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,11577,ERI,"Erie, PA",PA,2018,2,6
0.00,99.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,11577,ERI,"Erie, PA",PA,2018,3,7
0.00,99.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,11577,ERI,"Erie, PA",PA,2018,3,8
0.00,99.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,11577,ERI,"Erie, PA",PA,2018,3,9
0.00,99.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,11577,ERI,"Erie, PA",PA,2018,4,10
0.00,99.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,11577,ERI,"Erie, PA",PA,2018,4,11
0.00,99.00,FX,Federal Express Corporation,11042,CLE,"Cleveland, OH",OH,11577,ERI,"Erie, PA",PA,2018,4,12
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,1,1
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,1,2
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,1,3
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,2,4
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,2,5
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,2,6
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,3,7
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,3,8
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,3,9
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,4,10
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,4,11
0.00,102.00,FX,Federal Express Corporation,12223,HTS,"Ashland, WV",WV,12917,LCK,"Columbus, OH",OH,2018,4,12
0.00,102.00,FX,Federal Express Corporation,12917,LCK,"Columbus, OH",OH,12223,HTS,"Ashland, WV",WV,2018,2,4
0.00,106.00,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11042,CLE,"Cleveland, OH",OH,14122,PIT,"Pittsburgh, PA",PA,2018,3,7
